title;total_accidents;deaths;injuries;;;;;;
TỔNG SỐ;11457;6397;7804;;;;;;
Đồng bằng sông Hồng;1862;1040;1262;;;;;;
Hà Nội;812;408;573;;;;;;
Vĩnh Phúc;40;30;25;;;;;;
Bắc Ninh;84;62;31;;;;;;
Quảng Ninh;92;51;73;;;;;;
Hải Dương;157;127;68;;;;;;
Hải Phòng;65;51;22;;;;;;
Hưng Yên;148;108;121;;;;;;
Thái Bình;132;60;97;;;;;;
Hà Nam;120;63;74;;;;;;
Nam Định;107;45;87;;;;;;
Ninh Bình;105;35;91;;;;;;
Trung du và miền núi phía Bắc;1138;595;965;;;;;;
Hà Giang;20;19;10;;;;;;
Cao Bằng;74;38;84;;;;;;
Bắc Kạn;41;19;44;;;;;;
Tuyên Quang;97;36;87;;;;;;
Lào Cai;66;33;63;;;;;;
Yên Bái;118;46;120;;;;;;
Thái  Nguyên;136;39;125;;;;;;
Lạng Sơn;55;40;30;;;;;;
Bắc Giang;267;131;186;;;;;;
Phú Thọ;57;53;25;;;;;;
Điện Biên;25;18;17;;;;;;
Lai Châu;47;21;42;;;;;;
Sơn La;35;31;36;;;;;;
Hòa Bình;100;71;96;;;;;;
Bắc Trung Bộ và Duyên hải miền Trung;2521;1501;1805;;;;;;
Thanh Hóa;316;123;288;;;;;;
Nghệ An;159;110;101;;;;;;
Hà Tĩnh;109;91;46;;;;;;
Quảng Bình;117;65;95;;;;;;
Quảng Trị;194;102;163;;;;;;
Thừa Thiên-Huế;433;181;329;;;;;;
Đà Nẵng;82;56;56;;;;;;
Quảng  Nam;156;136;91;;;;;;
Quảng  Ngãi;184;102;149;;;;;;
Bình Định;130;113;73;;;;;;
Phú Yên;133;79;97;;;;;;
Khánh  Hòa;112;117;36;;;;;;
Ninh  Thuận;146;50;149;;;;;;
Bình Thuận;250;176;132;;;;;;
Tây Nguyên;784;558;536;;;;;;
Kon Tum;65;68;42;;;;;;
Gia Lai;337;242;265;;;;;;
Đắk Lắk;204;143;118;;;;;;
Đắk Nông;60;34;38;;;;;;
Lâm Đồng;118;71;73;;;;;;
Đông Nam Bộ;3587;1547;2439;;;;;;
Bình Phước;166;135;100;;;;;;
Tây Ninh;76;37;51;;;;;;
Bình  Dương;602;316;463;;;;;;
Đồng Nai;231;173;128;;;;;;
Bà Rịa - Vũng Tàu;496;251;376;;;;;;
TP. Hồ Chí Minh;2016;635;1321;;;;;;
Đồng bằng sông Cửu Long;1558;1143;797;;;;;;
Long An;132;80;70;;;;;;
Tiền Giang;387;272;194;;;;;;
Bến Tre;158;147;34;;;;;;
Trà Vinh;40;36;18;;;;;;
Vĩnh Long;146;99;110;;;;;;
Đồng Tháp;84;78;23;;;;;;
An Giang;67;57;16;;;;;;
Kiên  Giang;114;85;56;;;;;;
Cần Thơ;78;72;17;;;;;;
Hậu Giang;63;59;14;;;;;;
Sóc Trăng;218;125;186;;;;;;
Bạc Liêu;35;21;28;;;;;;
Cà Mau;36;12;31;;;;;;
Khác;7;13;334;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
